,SiteName,BlockNo,PlotNo,Subplot.No,Subplot.X,Subplot.Y,X4.waygrass,achmol,aegtri,agohet,aircar,amsmen,anaarv,astragalus,avebar,avefat,bare,brimax,brimin,brocar,brodia,brohor,bromad,broster,calcil,callut,calpar,cardamine,carpac,casatt,cenmil,cenmil..not..,cerglo,clapur,collinsia,conarv,croset,cynech,daucpusil,delgra,delvar,diccap,dicmul,elygla,erobot,eupspa,filgal,galapa,galpar,gerdis,germol,greenbrush,hypgla,laccil,lacser,lagophylla,latsph,linbic,linpar,lolmul,lomatium,longawnbrome,lotmic,lotpur,lotus,lotwra,lupbic,luzcom,madgra,miccal,naspul,navpub,notago,oak,petdub,pink.cup.opposite,plalan,planot,poasecunda,purplecup,purpleflower,rancal,rock,sanbip,scapec,shearv,shieldseed,sidalcea,sisbel,taecap,thycur,torilis,trialbo,tribif,tricil,tridub,trieri,trifuc,trigra,trihir,trihya,trilax,trimicroceph,trimicrodon,triwhite,triwil,triwra,unkforb,unktar,vicsat,vicvil,vulmyu,whiterib,whorledtarweed,wood,zigadenus
1046,HREC,1,1,6,6,3,,,,,,,,,1,,,5,,,2,3,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,,1,4,,,2,,,,2,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,
1062,HREC,1,1,6,6,5,,,,,,,,,1,,,5,,,2,2,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,4,,,2,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,1,,,,,,,2,,,,,,
1078,HREC,1,1,6,6,7,,,,,,,,,2,,,5,,,2,2,,,,,,,1,,1,,,1,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,
1031,HREC,1,1,7,7,1,,,3,,,,,,,,5,5,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,1,,,1,3,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,
1047,HREC,1,1,7,7,3,,,,,,,,,1,,,5,,,1,2,,1,,,,,,,,,,2,,,,,1,,,,,2,,2,,,,2,,,,,,,1,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,1,,,,,,2,,,,,,
1063,HREC,1,1,7,7,5,,,,,,,,,,,,5,,,1,2,,1,,,,,1,,,,,,,,,,1,,,,,,1,,,,1,3,,,1,,,,1,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,
1079,HREC,1,1,7,7,7,,,2,,,,,,,,,6,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,2,1,,,,,,1,,,,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
1032,HREC,1,1,8,8,1,,,3,,,,,,,,3,5,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,3,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,
1048,HREC,1,1,8,8,3,,,,,,,,,1,,,5,,,2,1,,3,,,,,,,,,,3,,,,,2,,,,,,1,1,,,,3,,,,,,,2,,,,,,,,,,2,,2,1,,,,,,,,,,,,,,,1,,,1,,,,1,,,2,,,,,1,,,,,,,,,,2,,,,,,
1064,HREC,1,1,8,8,5,,,3,,,,,,1,,,5,,,2,2,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,2,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,
1080,HREC,1,1,8,8,7,,,2,,,,,,,,12,5,,,,2,,,,,,,,,1,,,2,,,,,1,,,,,,,,,,1,2,,,,,,,1,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,2,,,,,,
