"","Site","SiteNo","PlotNo","SubplotNo","SubplotRes","X","Y","BroDia","BroHor","TaeCap","CynEch","BroMad","LolMul","GalPar","MadSat","HypGla","GerDis","Lotus","Torilis","Bare","VulMyu","CroSet","VicSat","Clarkia","CarPac","DicCap","Centaurea","Solidago","MadSat.1","Gopher","Sidalcea","LacSer","BriMin","Asclepias","UnkForb.Cerastium..","Tritileia","CovDis","BranchedTarweed","EupSpa","WhiteGlume","Erodium","SoftThistle","AgoHet","RumCri","AnaArv","TriDub","TriHir","AchMil","AirCar","PetDub","TritileiaBlue","TriMicro","LinCil","GerDis.1","AveBar","Richness","SubplotArea"
"87","SFREC",1,6,3,0.5,2,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.25
"88","SFREC",1,6,5,0.25,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0625
"89","SFREC",1,6,6,0.25,1,2,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0625
"90","SFREC",1,6,4,0.5,2,2,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0.25
"91","SFREC",1,6,7,0.25,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0625
"92","SFREC",1,6,8,0.25,1,2,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0625
"93","SFREC",1,6,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,16
"94","SFREC",1,7,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4
"95","SFREC",1,7,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
"96","SFREC",1,7,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.25
