row,site,plot,subplotno,subplotres,mid_x,mid_y,bl_x,ul_x,ur_x,br_x,bl_y,ul_y,ur_y,br_y
287,3,3,4,0.25,11.625,4.875,11.5,11.5,11.75,11.75,4.75,5,5,4.75
288,3,3,2,1,12.5,4.5,12,12,13,13,4,5,5,4
289,3,3,3,0.5,12.25,4.25,12,12,12.5,12.5,4,4.5,4.5,4
290,3,3,5,0.25,12.375,4.125,12.25,12.25,12.5,12.5,4,4.25,4.25,4
291,3,3,6,0.25,12.125,4.375,12,12,12.25,12.25,4.25,4.5,4.5,4.25
292,3,3,4,0.5,12.25,4.75,12,12,12.5,12.5,4.5,5,5,4.5
293,3,3,7,0.25,12.375,4.625,12.25,12.25,12.5,12.5,4.5,4.75,4.75,4.5
294,3,3,8,0.25,12.375,4.875,12.25,12.25,12.5,12.5,4.75,5,5,4.75
295,3,4,1,2,10,7,9,9,11,11,6,8,8,6
296,3,4,1,1,9.5,7.5,9,9,10,10,7,8,8,7
297,3,4,1,0.5,9.25,7.25,9,9,9.5,9.5,7,7.5,7.5,7
298,3,4,1,0.25,9.125,7.125,9,9,9.25,9.25,7,7.25,7.25,7
299,3,4,2,0.25,9.125,7.375,9,9,9.25,9.25,7.25,7.5,7.5,7.25
300,3,4,2,0.5,9.75,7.75,9.5,9.5,10,10,7.5,8,8,7.5
301,3,4,3,0.25,9.625,7.875,9.5,9.5,9.75,9.75,7.75,8,8,7.75
302,3,4,4,0.25,9.875,7.625,9.75,9.75,10,10,7.5,7.75,7.75,7.5
303,3,4,2,1,10.5,7.5,10,10,11,11,7,8,8,7
304,3,4,3,0.5,10.25,7.25,10,10,10.5,10.5,7,7.5,7.5,7
305,3,4,5,0.25,10.125,7.125,10,10,10.25,10.25,7,7.25,7.25,7
306,3,4,6,0.25,10.125,7.375,10,10,10.25,10.25,7.25,7.5,7.5,7.25
307,3,4,4,0.5,10.75,7.75,10.5,10.5,11,11,7.5,8,8,7.5
308,3,4,7,0.25,10.625,7.875,10.5,10.5,10.75,10.75,7.75,8,8,7.75
309,3,4,8,0.25,10.875,7.875,10.75,10.75,11,11,7.75,8,8,7.75
310,3,4,1,4,11,6,9,9,13,13,4,8,8,4
311,3,5,1,2,16,1,15,15,17,17,0,2,2,0
312,3,5,1,1,15.5,1.5,15,15,16,16,1,2,2,1
313,3,5,1,0.5,15.25,1.75,15,15,15.5,15.5,1.5,2,2,1.5
314,3,5,1,0.25,15.125,1.625,15,15,15.25,15.25,1.5,1.75,1.75,1.5
