SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,AveFat,AirCar,TriDub,TriHir,VulMyu,TriWhite,GalPar,Bare,DicCap,MadGra,HypGla,VicVel,BroDia,EroBot,TaeCap,TriCil,LatSph,ClaPur,TriWra,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicVil,BroHor,VulMyu,TaeCap,AveBar,HypGla,GerDis,CalPar,LacSer,Bare,SisBel,AirCar,AnaArv,ClaPur,LupBic,CroSet,ConArv,MadGra,TriDub,,,,,
MCLA,2,1,1,1,7,3,3,3,5,3,,,,,,,,,,,,,,,,,,,
MCLA,2,1,2,2,7,2,4,3,5,2,1,,,1,4,,,,,,,,,,,,,,
MCLA,2,1,3,3,7,,3,4,4,2,,,,,,2,1,1,1,,,,,,,,,,
MCLA,2,1,4,4,7,3,3,4,4,1,,2,,,,,2,,1,2,1,1,,,,,,,
MCLA,2,1,5,5,7,3,3,3,4,,,2,,,,,2,,,1,,,1,,,,,,
MCLA,2,1,6,6,7,3,3,2,5,2,,3,1,,,,,,,,,,,,,,,,
MCLA,2,1,7,7,7,4,4,3,4,2,,,,,,,,,,,,,,,,,,,
MCLA,2,1,8,8,7,4,4,4,3,,,,,,,,,,,1,,,,,,,,,
MCLA,2,1,9,1,8,3,3,4,4,2,,,,,,,,,,,,,,,,,,,
MCLA,2,1,10,2,8,3,4,3,4,2,,,,,,,1,,1,,,,1,1,,,,,
MCLA,2,1,11,3,8,2,3,3,5,,,1,2,,,,,,,,,,1,1,,,,,
MCLA,2,1,12,4,8,2,3,3,5,,,1,1,,,,,,,,,,,,,,,,
MCLA,2,1,13,5,8,2,5,3,4,2,,,,,,,2,,,,,,,,,,,,
MCLA,2,1,14,6,8,1,3,2,5,2,,1,,,,,,,,,,,,,,,,,
MCLA,2,1,15,7,8,2,3,2,4,3,,1,1,,,,1,,,,,,1,,,,,,
MCLA,2,1,16,8,8,4,4,4,3,3,,2,,,,2,,,,1,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,VulMyu,TaeCap,AirCar,GerDis,ClaPur,Bare,GalPar,MadGra,HypGla,AveBar,DicCap,LotWra,BriMin,TriDub,MicCal,VicVil,CroSet,Cardamine,NavPub,TriCil,,,
MCLA,2,2,1,1,1,5,3,4,1,1,1,,,,,,,,,,,,,,,,,,
MCLA,2,2,2,2,1,3,2,5,1,,1,6,2,1,,,,,,,,,,,,,,,
MCLA,2,2,3,3,1,4,3,4,1,2,1,,1,,1,3,1,,,,,,,,,,,,
MCLA,2,2,4,4,1,5,3,3,2,2,,,,,,1,,1,,,,,,,,,,,
MCLA,2,2,5,5,1,5,3,4,,,,,,,,2,,,,,,,,,,,,,
MCLA,2,2,6,6,1,5,3,4,2,,2,15,,,2,,,,1,1,1,,,,,,,,
MCLA,2,2,7,7,1,3,3,5,,,,10,,,1,,1,,,,,3,1,,,,,,
MCLA,2,2,8,8,1,4,3,5,1,,2,10,,,,,1,,,2,1,,,,,,,,
MCLA,2,2,9,1,2,4,4,4,2,,,15,,,2,,,,1,,,2,,,,,,,
MCLA,2,2,10,2,2,3,3,5,,1,,,,,,2,1,,,,,,,,,,,,
MCLA,2,2,11,3,2,3,5,4,,2,,6,1,,2,2,,,,,,,,1,,,,,
MCLA,2,2,12,4,2,4,5,3,,2,,4,,,2,3,,,,,,2,,,,,,,
MCLA,2,2,13,5,2,4,5,4,,,,,,,,,,1,,,2,,,,,,,,
MCLA,2,2,14,6,2,4,3,5,2,2,,20,2,,,,,,,1,,,1,,,,,,
MCLA,2,2,15,7,2,4,3,4,1,,2,6,,,,,,,1,,3,,,2,1,,,,
MCLA,2,2,16,8,2,4,2,4,2,,2,10,,,,,,,2,3,2,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,VulMyu,TaeCap,HypGla,VicVil,GerDis,LolMul,DicCap,AgoHet,Bare,AveBar,AirCar,GalPar,CroSet,ClaPur,Cardamine,,,,,,,,
MCLA,2,2,1,1,3,4,3,4,3,1,3,,1,,,,,,,,,,,,,,,,
MCLA,2,2,2,2,3,3,3,6,,2,1,2,,,,,,,,,,,,,,,,,
MCLA,2,2,3,3,3,3,2,5,,3,2,,1,,,,,,,,,,,,,,,,
MCLA,2,2,4,4,3,3,3,5,,,2,,,3,8,2,1,1,,,,,,,,,,,
MCLA,2,2,5,5,3,4,2,5,,,,,1,2,,,1,,1,,,,,,,,,,
MCLA,2,2,6,6,3,4,3,5,,1,,,1,,,,,,,1,,,,,,,,,
MCLA,2,2,7,7,3,3,2,5,,2,,,1,,,,,,,,,,,,,,,,
MCLA,2,2,8,8,3,4,2,5,,2,,,,,3,,2,,,1,,,,,,,,,
MCLA,2,2,9,1,4,5,3,3,2,,3,,,,10,1,3,1,,,1,,,,,,,,
MCLA,2,2,10,2,4,4,2,5,,,,,1,,,,2,,,2,,,,,,,,,
MCLA,2,2,11,3,4,3,2,6,,3,2,,,,,,,,,,,,,,,,,,
MCLA,2,2,12,4,4,3,2,6,,1,2,,1,,,,,,,1,,,,,,,,,
MCLA,2,2,13,5,4,3,2,6,,1,,,1,1,,2,,,,1,,,,,,,,,
MCLA,2,2,14,6,4,3,2,6,,,,,,,,3,,,,,,,,,,,,,
MCLA,2,2,15,7,4,4,2,5,,2,,,,,,3,,,,,,,,,,,,,
MCLA,2,2,16,8,4,4,1,5,,,,,,,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,VulMyu,TaeCap,VicVil,GerDis,ClaPur,AirCar,DicCap,GalPar,Bare,MadGra,TriDub,SisBel,LotWra,LolMul,AveBar,CroSet,,,,,,,
MCLA,2,2,1,1,5,5,4,3,2,2,1,,,,,,,,,,,,,,,,,,
MCLA,2,2,2,2,5,5,3,4,2,2,1,1,1,,,,,,,,,,,,,,,,
MCLA,2,2,3,3,5,4,2,4,3,2,1,,,1,10,,,,,,,,,,,,,,
MCLA,2,2,4,4,5,3,2,5,1,,1,,,,,,,,,,,,,,,,,,
MCLA,2,2,5,5,5,3,3,4,,,,,1,,,2,1,1,1,,,,,,,,,,
MCLA,2,2,6,6,5,2,3,4,3,,,,1,,7,2,,,,,,,,,,,,,
MCLA,2,2,7,7,5,3,2,5,2,,,,1,,,,1,,,,,,,,,,,,
MCLA,2,2,8,8,5,3,1,5,2,1,,,1,,,,2,,,,,,,,,,,,
MCLA,2,2,9,1,6,4,2,4,2,,,,1,,,,,,,3,,,,,,,,,
MCLA,2,2,10,2,6,4,2,5,3,,,,1,,,,,,,1,,,,,,,,,
MCLA,2,2,11,3,6,4,2,5,2,,,,,,,,,,,2,,,,,,,,,
MCLA,2,2,12,4,6,3,1,5,2,,1,,,,,2,,,,,,,,,,,,,
MCLA,2,2,13,5,6,3,3,4,,1,,,1,1,,3,,,,,,,,,,,,,
