Name: Eviner Lab Penetrometer         																						
Serial #:  2062 																						
Datum: WGS 84																						
Soil Compation In KPa																						
Longitude	Latitude	Number	0.0 cm	2.5 cm	5.0 cm	7.5 cm	10.0 cm	12.5 cm	15.0 cm	17.5 cm	20.0 cm	22.5 cm	25.0 cm	27.5 cm	30.0 cm	32.5 cm	35.0 cm	37.5 cm	40.0 cm	42.5 cm	45.0 cm	Cone Size
		N= 5 	69	242	138	104	586	448	656	586	759	656	1414	1518	2139	3105	1242	1380	1000	1932	0	1/2 Inch
		N= 6 	310	448	586	380	414	414	552	1346	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 7 	242	310	1587	724	932	724	1208	1070	0	690	345	448	586	448	759	1138	932	794	1173	1/2 Inch
		N= 8 	0	34	207	0	276	345	2415	828	448	414	310	310	310	345	1518	1242	621	897	0	1/2 Inch
		N= 9 	0	0	380	242	172	242	276	724	414	345	759	724	794	932	897	552	483	414	552	1/2 Inch
		N= 10 	276	207	69	138	69	34	69	69	172	242	172	483	483	483	345	0	0	0	0	1/2 Inch
		N= 11 	242	310	656	724	794	1070	1380	1173	1587	1518	1276	0	0	0	0	0	0	0	0	1/2 Inch
		N= 12 	138	172	69	172	621	759	897	1380	966	862	724	862	380	0	310	656	690	1208	828	1/2 Inch
		N= 13 	104	104	276	207	172	1104	724	862	1070	483	380	310	345	621	0	0	0	0	0	1/2 Inch
		N= 14 	345	380	414	414	656	932	1828	1898	966	448	448	483	345	380	345	310	172	242	552	1/2 Inch
		N= 15 	483	483	862	656	483	656	690	586	586	656	483	656	552	690	2174	0	0	0	0	1/2 Inch
		N= 16 	207	621	586	552	552	2001	1760	1242	1276	862	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 17 	242	172	310	794	932	794	1622	1070	828	621	690	483	552	586	656	828	0	0	0	1/2 Inch
		N= 18 	207	104	242	483	656	690	586	690	586	1276	1138	1000	966	759	656	621	621	656	690	1/2 Inch
		N= 19 	586	586	207	172	242	1208	2726	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 20 	34	34	345	104	345	621	1414	897	552	448	552	621	552	483	1173	0	0	0	0	1/2 Inch
		N= 21 	69	380	207	310	448	690	1208	4692	1760	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 22 	0	0	0	34	104	690	483	483	690	414	483	276	242	0	0	0	0	0	0	1/2 Inch
		N= 23 	34	69	276	276	586	552	586	1138	724	586	621	0	0	0	0	0	0	0	0	1/2 Inch
		N= 24 	172	242	310	690	656	724	897	759	690	1208	932	897	1863	1725	0	0	0	0	0	1/2 Inch
		N= 25 	34	310	207	0	138	172	207	345	380	690	1380	1380	1104	862	828	0	0	0	0	1/2 Inch
		N= 26 	0	0	34	138	380	1380	966	932	862	1104	1070	1173	1173	1725	1380	1311	0	0	0	1/2 Inch
		N= 27 	34	69	104	276	483	1656	483	483	414	380	276	310	380	345	483	380	448	1276	966	1/2 Inch
		N= 28 	380	483	656	310	345	586	448	345	552	0	0	828	0	483	897	1518	2312	0	0	1/2 Inch
		N= 29 	69	242	242	242	448	483	0	621	414	448	380	380	483	483	380	414	586	621	621	1/2 Inch
		N= 30 	172	621	621	380	1898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 31 	345	586	0	483	276	586	656	690	690	794	759	1208	2346	0	0	0	0	0	0	1/2 Inch
		N= 32 	276	310	276	207	310	0	483	448	2036	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 33 	414	414	483	310	552	794	690	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 34 	242	345	380	483	345	966	794	759	2588	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 35 	380	380	483	138	104	69	3278	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 36 	242	310	345	345	345	690	759	2380	759	0	862	897	2380	0	2242	1587	0	0	0	1/2 Inch
		N= 37 	0	0	759	0	276	242	345	414	759	69	242	1622	0	0	0	0	0	0	0	1/2 Inch
		N= 38 	380	552	483	586	448	414	552	586	483	380	483	552	448	483	0	0	0	0	0	1/2 Inch
		N= 39 	69	69	207	242	1276	621	794	724	1932	1760	1138	1070	1173	1414	1725	0	1346	1380	1346	1/2 Inch
		N= 40 	172	414	794	621	724	1070	1104	794	1000	794	828	690	690	552	483	724	862	897	862	1/2 Inch
		N= 41 	448	448	794	1173	552	828	621	759	1449	0	1276	345	1725	0	0	0	0	0	0	1/2 Inch
		N= 42 	310	276	276	586	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 43 	207	242	0	138	414	1346	724	759	0	552	586	759	552	552	621	724	794	794	862	1/2 Inch
		N= 44 	104	690	345	414	345	586	414	310	1242	1587	759	586	621	724	2967	2036	1484	1276	1518	1/2 Inch
		N= 45 	69	414	414	483	586	932	0	586	586	724	759	759	724	759	828	897	932	759	759	1/2 Inch
		N= 46 	345	345	690	656	1760	897	483	690	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 47 	0	104	138	794	1070	3484	2588	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 48 	310	794	759	276	345	483	724	656	380	276	552	414	345	483	552	552	483	483	552	1/2 Inch
