SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BriMax,AegTri,BroHor,BroDia,MadGra,VicSat,LatSph,DaucPusil,GerDis,EupSpa,AveBar,GalPar,Torilis,TriCil,Sidalcea,TriMicroceph,ClaPur,Lomatium,MicCal,DicCap,CenMil,BroSter,HypGla,AirCar,CarPac,,,,,,
HREC,2,1,11,3,6,1,2,4,3,3,2,2,3,1,,,,1,,,,,1,,,,,,,,,,,,,
HREC,2,1,12,4,6,1,5,2,2,2,,1,2,2,,,,,,,,,,,,,,,,,,,,,,
HREC,2,1,13,5,6,2,3,3,3,2,,3,2,,,2,,1,,1,3,,1,,,,,,,,,,,,,
HREC,2,1,14,6,6,2,,3,2,,,2,1,2,,,3,1,,3,1,,1,,,,1,2,1,,,,,,,
HREC,2,1,15,7,6,3,3,3,4,3,3,2,2,2,,,2,2,,,,,1,2,,,,,,,,,,,,
HREC,2,1,16,8,6,2,2,4,2,2,3,2,2,2,,,1,1,,,,2,1,2,,,,,,1,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,AegTri,BriMax,BroHor,BroDia,GerDis,Torilis,MadGra,GalPar,CarPac,LupBic,LatSph,DaucPusil,VicSat,Linanthus,EroBot,HypGla,TriHir,CenMil,BroSter,TriMicrodon,LupBic,TriCil,ElyGla,ClaPur,,,,,,
HREC,2,1,1,1,7,1,,5,2,2,,,3,1,,,,1,1,1,1,1,,,,,,,,,,,,,,
HREC,2,1,2,2,7,1,,5,2,3,,2,2,1,,,,,,,,,1,,,,,,,,,,,,,
HREC,2,1,3,3,7,1,,5,2,3,2,2,2,1,,,1,2,2,,,,,,,,,,,,,,,,,
HREC,2,1,4,4,7,2,2,4,2,3,2,3,2,1,,,1,1,2,,,2,,,,,,,,,,,,,,
HREC,2,1,5,5,7,2,1,4,2,2,,3,2,1,,,2,2,2,,,3,,3,,,,,,,,,,,,
HREC,2,1,6,6,7,2,2,3,2,2,2,3,0,1,,,3,,,,,2,,1,,,,,,,,,,,,
HREC,2,1,7,7,7,2,2,4,2,2,2,3,2,2,,2,2,,2,,,2,,,,,,,,,,,,,,
HREC,2,1,8,8,7,1,2,4,3,3,2,2,2,1,1,2,3,1,2,,,2,,,2,,,,,,,,,,,
HREC,2,1,9,1,8,2,2,5,2,2,2,2,3,1,,2,,1,1,,,,,1,1,,,,,,,,,,,
HREC,2,1,10,2,8,0,2,4,2,3,2,2,3,1,,,,,,1,,2,,,,,,,,,,,,,,
HREC,2,1,11,3,8,1,,4,3,3,1,1,2,1,2,,1,1,2,,,2,,1,,,,,,,,,,,,
HREC,2,1,12,4,8,1,,5,2,2,2,,2,1,,,1,1,2,,,3,,,,1,1,,,,,,,,,
HREC,2,1,13,5,8,1,2,4,3,2,2,1,3,1,,,,2,2,,,,,,,,,,,,,,,,,
