SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,TriCil,EroCic,DicCap,LatSph,GerMol,CarPac,LotMic,,,,
HREC,2,2,16,8,4,2,4,1,,2,2,2,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,CarPac,Bare,GalPar,DaucPusil,LupBic,EroCic,LatSph,DicCap,,,,,,,,
HREC,2,2,1,1,1,2,4,,3,,,,,,,,,,,,,,,
HREC,2,2,2,2,1,2,2,2,,15,2,,,,,,,,,,,,,
HREC,2,2,3,3,1,2,2,3,,,1,,,,,,,,,,,,,
HREC,2,2,4,4,1,2,2,3,,2,1,,1,1,,,,,,,,,,
HREC,2,2,5,5,1,2,2,3,,,2,,,1,,,,,,,,,,
HREC,2,2,6,6,1,1,3,2,1,,1,2,1,1,,,,,,,,,,
HREC,2,2,7,7,1,1,3,3,,,,3,,,,,,,,,,,,
HREC,2,2,8,8,1,2,5,1,,,,1,,,,,,,,,,,,
HREC,2,2,9,1,2,2,4,,,,1,,,,,,,,,,,,,
HREC,2,2,10,2,2,2,2,3,,20,2,,,,1,,,,,,,,,
HREC,2,2,11,3,2,2,1,4,,3,,,,1,1,,,,,,,,,
HREC,2,2,12,4,2,1,2,3,,,2,,,,1,,,,,,,,,
HREC,2,2,13,5,2,2,2,3,,,1,1,,,,,,,,,,,,
HREC,2,2,14,6,2,2,2,3,2,,1,1,,1,,,,,,,,,,
HREC,2,2,15,7,2,2,3,2,,,1,1,,,,1,,,,,,,,
HREC,2,2,16,8,2,1,3,2,3,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,ClaPer,GalPar,LupBic,TriCupcake,CarPac,DaucPusil,ShieldSeed,,,,,,,,,
HREC,2,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,
HREC,2,1,2,2,1,2,1,,,,,,,,,,,,,,,,,
HREC,2,1,3,3,1,2,1,1,,,,,,,,,,,,,,,,
HREC,2,1,4,4,1,2,3,,,,,,,,,,,,,,,,,
HREC,2,1,5,5,1,2,3,3,2,2,,,,,,,,,,,,,,
HREC,2,1,6,6,1,2,3,2,1,,,,,,,,,,,,,,,
HREC,2,1,7,7,1,2,4,1,1,1,,,,,,,,,,,,,,
HREC,2,1,8,8,1,2,4,2,1,1,2,1,1,,,,,,,,,,,
HREC,2,1,9,1,2,3,2,,,,,,,,,,,,,,,,,
HREC,2,1,10,2,2,2,3,1,,1,,,,,,,,,,,,,,
HREC,2,1,11,3,2,2,4,2,,1,2,,,,,,,,,,,,,
HREC,2,1,12,4,2,2,3,2,,,2,,,,,,,,,,,,,
HREC,2,1,13,5,2,2,4,2,,,2,,,,,,,,,,,,,
HREC,2,1,14,6,2,2,3,3,,1,1,,2,,,,,,,,,,,
HREC,2,1,15,7,2,2,4,3,2,,1,,2,2,,,,,,,,,,
